2.895198148693374662e+00,6.430630566298736639e+00
1.956669002974054106e+00,2.342500456186219715e+00
5.220629635334923080e+00,1.580979404941770472e+00
6.992023675070547561e+00,1.691779256008728360e+00
3.392325647905434671e+00,8.624246331444830105e+00
3.253047256561365508e+00,1.425271691741771818e+00
4.820517981923268636e+00,1.490759683428750115e+01
1.299162294576538912e+01,5.134284665514142887e+01
3.203418034833533490e+00,7.345025243012973881e+00
2.062970156829388113e+00,1.509873699391010238e+00
